region_id,dane_code,city
23,73001,Ibagué
23,73024,Alpujarra
23,73026,Alvarado
23,73030,Ambalema
23,73043,Anzoátegui
23,73055,Armero
23,73067,Ataco
23,73124,Cajamarca
23,73148,Carmen de Apicalá
23,73152,Casabianca
23,73168,Chaparral
23,73200,Coello
23,73217,Coyaima
23,73226,Cunday
23,73236,Dolores
23,73268,Espinal
23,73270,Falan
23,73275,Flandes
23,73283,Fresno
23,73319,Guamo
23,73347,Herveo
23,73349,Honda
23,73352,Icononzo
23,73408,Lérida
23,73411,Líbano
23,73443,Mariquita
23,73449,Melgar
23,73461,Murillo
23,73483,Natagaima
23,73504,Ortega
23,73520,Palocabildo
23,73547,Piedras
23,73555,Planadas
23,73563,Prado
23,73585,Purificación
23,73616,Rioblanco
23,73622,Roncesvalles
23,73624,Rovira
23,73671,Saldaña
23,73675,San Antonio
23,73678,San Luis
23,73686,Santa Isabel
23,73770,Suárez
23,73854,Valle de San Juan
23,73861,Venadillo
23,73870,Villahermosa
23,73873,Villarrica
24,76001,Cali
24,76020,Alcalá
24,76036,Andalucía
24,76041,Ansermanuevo
24,76054,Argelia
24,76100,Bolivar
24,76109,Buenaventura
24,76111,Guadalajara de Buga
24,76113,Bugalagrande
24,76122,Caicedonia
24,76126,Calima
24,76130,Candelaria
24,76147,Cartago
24,76233,Dagua
24,76243,El Águila
24,76246,El Cairo
24,76248,El Cerrito
24,76250,El Dovio
24,76275,Florida
24,76306,Ginebra
24,76318,Guacarí
24,76364,Jamundí
24,76377,La Cumbre
24,76400,La Unión
24,76403,La Victoria
24,76497,Obando
24,76520,Palmira
24,76563,Pradera
24,76606,Restrepo
24,76616,Riofrío
24,76622,Roldanillo
24,76670,San Pedro
24,76736,Sevilla
24,76823,Toro
24,76828,Trujillo
24,76834,Tuluá
24,76845,Ulloa
24,76863,Versalles
24,76869,Vijes
24,76890,Yotoco
24,76892,Yumbo
24,76895,Zarzal
25,81001,Arauca
25,81065,Arauquita
25,81220,Cravo Norte
25,81300,Fortul
25,81591,Puerto Rondón
25,81736,Saravena
25,81794,Tame
26,85001,Yopal
26,85010,Aguazul
26,85015,Chameza
26,85125,Hato Corozal
26,85136,La Salina
26,85139,Maní
26,85162,Monterrey
26,85225,Nunchía
26,85230,Orocué
26,85250,Paz de Ariporo
26,85263,Pore
26,85279,Recetor
26,85300,Sabanalarga
26,85315,Sácama
26,85325,San Luis de Palenque
26,85400,Támara
26,85410,Tauramena
26,85430,Trinidad
26,85440,Villanueva
27,86001,Mocoa
27,86219,Colón
27,86320,Orito
27,86568,Puerto Asís
27,86569,Puerto Caicedo
27,86571,Puerto Guzmán
27,86573,Leguízamo
27,86749,Sibundoy
27,86755,San Francisco
27,86757,San Miguel
27,86760,Santiago
27,86865,Valle del Guamuez
27,86885,Villagarzón
28,88001,San Andrés
28,88564,Providencia Norte
29,91001,Leticia
29,91263,CD. El Encanto
29,91405,CD. La Chorrera
29,91407,CD. La Pedrera
29,91430,CD. La Victoria
29,91460,CD. Miriti - Paraná
29,91530,CD. Puerto Alegría
29,91536,CD. Puerto Arica
29,91540,Puerto 17
29,91669,CD. Puerto 21
29,91798,CD. Tarapacá
30,94001,Inírida
30,94343,CD. Barranco Minas
30,94663,CD. Mapiripana
30,94883,CD. San Felipe
30,94884,CD. Puerto Colombia
30,94885,CD. La Guadalupe
30,94886,CD. Cacahual
30,94887,CD. Pana Pana
30,94888,CD. Morichal
31,95001,San José del Guaviare
31,95015,Calamar
31,95025,El Retorno
31,95200,Miraflores
32,97001,Mitú
32,97161,Caruru
32,97511,CD. Pacoa
32,97666,Taraira
32,97777,CD. Papunaua
32,97889,CD. Yavaraté
33,99001,Puerto Carreño
33,99524,La Primavera
33,99624,Santa Rosalía
33,99773,Cumaribo
