geolocation_id,channels,operation,id
8606,38,Nacional privado futuro,728
8606,16,Nacional público,729
8606,17,Regional público,730
8606,34,Nacional privado,731
8606,32,Nacional privado,732
8634,38,Nacional privado futuro,733
8634,16,Nacional público,734
8634,17,Regional público,735
8634,34,Nacional privado,736
8634,32,Nacional privado,737
8634,26,Local con ánimo de lucro,738
8634,21,Local sin ánimo de lucro,739
8638,38,Nacional privado futuro,740
8638,16,Nacional público,741
8638,17,Regional público,742
8638,34,Nacional privado,743
8638,32,Nacional privado,744
8675,38,Nacional privado futuro,745
8675,16,Nacional público,746
8675,17,Regional público,747
8675,34,Nacional privado,748
8675,32,Nacional privado,749
8685,19,Nacional privado futuro,750
8685,16,Nacional público,751
8685,17,Regional público,752
8685,14,Nacional privado,753
8685,15,Nacional privado,754
8758,19,Nacional privado futuro,755
8758,14,Nacional privado,756
8758,15,Nacional privado,757
8758,16,Nacional público,758
8758,17,Regional público,759
8758,25,Local con ánimo de lucro,760
8758,21,Local sin ánimo de lucro,761
8770,38,Nacional privado futuro,762
8770,16,Nacional público,763
8770,17,Regional público,764
8770,34,Nacional privado,765
8770,32,Nacional privado,766
8832,38,Nacional privado futuro,767
8832,16,Nacional público,768
8832,17,Regional público,769
8832,34,Nacional privado,770
8832,32,Nacional privado,771
8849,38,Nacional privado futuro,772
8849,16,Nacional público,773
8849,17,Regional público,774
8849,34,Nacional privado,775
8849,32,Nacional privado,776
11001,29,Local sin ánimo de lucro,777
11001,30,Local sin ánimo de lucro,778
11001,19,Nacional privado futuro,779
11001,14,Nacional privado,780
11001,15,Nacional privado,781
11001,19,Nacional privado futuro,782
11001,28,Regional público,783
11001,27,Local con ánimo de lucro,784
11001,16,Nacional público,785
11001,17,Regional público,786
11001,28,Regional público,787
11001,16,Nacional público,788
11001,19,Nacional privado futuro,789
11001,17,Regional público,790
11001,28,Regional público,791
11001,16,Nacional público,792
11001,17,Regional público,793
11001,14,Nacional privado,794
11001,15,Nacional privado,795
11001,14,Nacional privado,796
11001,15,Nacional privado,797
13001,27,Local sin ánimo de lucro,798
13001,19,Nacional privado futuro,799
13001,14,Nacional privado,800
13001,15,Nacional privado,801
13001,16,Nacional público,802
13001,17,Regional público,803
13001,25,Local con ánimo de lucro,804
13006,50,Nacional privado futuro,805
13006,49,Nacional privado,806
13006,45,Nacional privado,807
13006,16,Nacional público,808
13006,17,Regional público,809
13030,27,Nacional público,810
13030,29,Regional público,811
13030,49,Nacional privado,812
13030,45,Nacional privado,813
13030,19,Nacional privado futuro,814
13042,27,Nacional público,815
13042,29,Regional público,816
13042,49,Nacional privado,817
13042,45,Nacional privado,818
13042,50,Nacional privado futuro,819
13052,33,Nacional público,820
13052,48,Regional público,821
13052,19,Nacional privado futuro,822
13052,14,Nacional privado,823
13052,15,Nacional privado,824
13062,16,Nacional público,825
13062,17,Regional público,826
13062,14,Nacional privado,827
13062,15,Nacional privado,828
13062,19,Nacional privado futuro,829
13074,50,Nacional privado futuro,830
13074,49,Nacional privado,831
13074,45,Nacional privado,832
13074,27,Nacional público,833
13074,29,Regional público,834
13140,38,Nacional privado futuro,835
13140,16,Nacional público,836
13140,17,Regional público,837
13140,34,Nacional privado,838
13140,32,Nacional privado,839
13160,27,Nacional público,840
13160,29,Regional público,841
13160,49,Nacional privado,842
13160,45,Nacional privado,843
13160,50,Nacional privado futuro,844
13188,49,Nacional privado,845
13188,45,Nacional privado,846
13188,27,Nacional público,847
13188,17,Regional público,848
13188,27,Nacional privado futuro,849
13212,19,Nacional privado futuro,850
13212,34,Nacional privado,851
13212,32,Nacional privado,852
13212,16,Nacional público,853
13212,17,Regional público,854
13222,16,Nacional público,855
13222,17,Regional público,856
13222,14,Nacional privado,857
13222,15,Nacional privado,858
13222,19,Nacional privado futuro,859
13244,38,Nacional privado futuro,860
13244,16,Nacional público,861
13244,17,Regional público,862
13244,14,Nacional privado,863
13244,15,Nacional privado,864
13248,38,Nacional privado futuro,865
13248,33,Nacional público,866
13248,48,Regional público,867
13248,34,Nacional privado,868
13248,32,Nacional privado,869
13268,27,Nacional público,870
13268,29,Regional público,871
13268,49,Nacional privado,872
13268,45,Nacional privado,873
13268,27,Nacional privado futuro,874
13300,27,Nacional público,875
13300,29,Regional público,876
13300,49,Nacional privado,877
13300,45,Nacional privado,878
13300,27,Nacional privado futuro,879
13430,49,Nacional privado,880
13430,45,Nacional privado,881
13430,19,Nacional privado futuro,882
13430,16,Nacional público,883
13430,17,Regional público,884
13430,22,Local con ánimo de lucro,885
13433,38,Nacional privado futuro,886
13433,16,Nacional público,887
13433,17,Regional público,888
13433,34,Nacional privado,889
13433,32,Nacional privado,890
13440,50,Nacional privado futuro,891
13440,49,Nacional privado,892
13440,45,Nacional privado,893
13440,27,Nacional público,894
13440,29,Regional público,895
13442,38,Nacional privado futuro,896
13442,16,Nacional público,897
13442,17,Regional público,898
13442,14,Nacional privado,899
13442,15,Nacional privado,900
13458,43,Nacional privado,901
13458,25,Nacional privado,902
13458,34,Nacional público,903
13458,29,Regional público,904
13458,27,Nacional privado futuro,905
13468,50,Nacional privado futuro,906
13468,49,Nacional privado,907
13468,45,Nacional privado,908
13468,27,Nacional público,909
13468,29,Regional público,910
13473,50,Nacional privado futuro,911
13473,49,Nacional privado,912
13473,45,Nacional privado,913
13473,27,Nacional público,914
13473,29,Regional público,915
13490,26,Nacional privado,916
13490,28,Nacional privado,917
13490,34,Nacional público,918
13490,29,Regional público,919
13490,27,Nacional privado futuro,920
13549,50,Nacional privado futuro,921
13549,49,Nacional privado,922
13549,45,Nacional privado,923
13549,27,Nacional público,924
13549,29,Regional público,925
13580,27,Nacional público,926
13580,29,Regional público,927
13580,49,Nacional privado,928
13580,45,Nacional privado,929
13580,27,Nacional privado futuro,930
13600,50,Nacional privado futuro,931
13600,49,Nacional privado,932
13600,45,Nacional privado,933
13600,27,Nacional público,934
13600,29,Regional público,935
13620,38,Nacional privado futuro,936
13620,16,Nacional público,937
13620,17,Regional público,938
13620,34,Nacional privado,939
13620,32,Nacional privado,940
13647,38,Nacional privado futuro,941
13647,16,Nacional público,942
13647,17,Regional público,943
13647,34,Nacional privado,944
13647,32,Nacional privado,945
13650,50,Nacional privado futuro,946
13650,49,Nacional privado,947
13650,45,Nacional privado,948
13650,27,Nacional público,949
13650,29,Regional público,950
13654,38,Nacional privado futuro,951
13654,16,Nacional público,952
13654,17,Regional público,953
13654,14,Nacional privado,954
13654,15,Nacional privado,955
13655,16,Nacional público,956
13655,17,Regional público,957
13655,43,Nacional privado,958
13655,25,Nacional privado,959
13655,19,Nacional privado futuro,960
13657,38,Nacional privado futuro,961
13657,16,Nacional público,962
13657,17,Regional público,963
13657,14,Nacional privado,964
13657,15,Nacional privado,965
13667,50,Nacional privado futuro,966
13667,49,Nacional privado,967
13667,45,Nacional privado,968
13667,27,Nacional público,969
13667,29,Regional público,970
13670,50,Nacional privado futuro,971
13670,49,Nacional privado,972
13670,45,Nacional privado,973
13670,27,Nacional público,974
13670,29,Regional público,975
13673,38,Nacional privado futuro,976
13673,16,Nacional público,977
13673,17,Regional público,978
